mu,sigma
1.20743,0.165557
1.89054,0.533966
2.14168,1.23452
1.32648,0.379243
1.74363,0.944764
0.239864,2.28406
0.850719,0.592459
0.706113,0.25494
2.60222,1.07182
-1.0925,2.7279
0.487837,0.637778
0.917456,1.09743
0.165227,1.14744
-0.510035,1.05852
1.4801,1.54105
1.59854,0.170166
1.34376,0.550871
0.772161,1.05517
1.48345,0.480403
1.2218,1.00112
1.58318,0.48313
1.76328,0.63985
0.790268,1.04511
1.09244,0.802597
1.40742,0.101226
-0.0957966,0.722509
-0.40877,1.70204
1.09017,1.01061
0.58038,0.757415
1.54778,0.323543
1.23972,0.240382
1.08823,0.626118
-0.217514,0.980048
0.856273,0.568551
1.33617,0.360948
0.0690299,0.997885
0.462217,1.42926
1.64826,0.769781
1.61428,0.18526
1.47492,0.106329
1.51055,0.15237
1.5187,0.347594
0.955261,0.219125
1.88253,0.370372
0.751908,0.595823
0.125097,1.03884
1.5457,0.362276
1.95507,0.532211
1.22349,0.244797
0.878197,0.566685
1.33474,0.213232
1.85928,0.466497
1.70265,0.535626
-2.90482,1.54431
1.30817,0.147481
1.35732,0.732945
1.5928,0.454346
2.01152,0.422146
1.39697,0.636964
1.15973,0.69452
0.998297,0.84833
1.65036,0.888221
1.41135,1.60602
1.86763,1.44166
-0.156608,2.10186
0.6068,1.02869
1.65122,1.39362
1.4135,0.37018
1.12778,0.285556
1.17052,1.28319
0.0425979,0.817224
0.767633,0.434819
-0.898035,1.06128
1.10717,1.22247
1.34787,0.746476
0.542502,1.20148
1.17858,2.11772
1.3036,0.234691
1.46274,0.339993
1.20323,0.210233
1.32087,0.568301
-0.176924,1.26328
0.636203,0.828992
1.3342,0.219158
1.31826,0.42396
2.00647,0.890084
0.970282,1.07115
1.21557,1.37019
2.57072,1.36703
1.45966,1.71986
1.73736,1.15537
2.23346,1.54152
1.59219,1.13727
0.939538,0.815362
1.11853,0.650188
1.21891,0.376309
1.94015,0.677285
0.46014,0.977345
2.10484,1.44753
0.489034,0.481935
-1.91014,3.03686
1.56874,0.499467
0.964631,0.603435
0.899149,0.248582
1.42593,0.168888
1.46349,0.192185
-1.03268,1.02209
1.7809,0.504192
-0.500356,1.74829
0.399695,0.984701
0.552131,0.891074
1.4005,0.771049
2.78996,1.61999
3.74357,1.55722
1.47459,0.117702
1.6451,0.186536
1.72975,0.441403
1.67671,0.332882
0.974788,1.27936
2.08975,0.614451
1.46746,0.198554
1.66318,0.577896
1.50492,1.82398
1.25142,0.450332
1.23424,0.300147
1.15572,0.536945
1.83031,0.306948
2.23135,0.708986
1.08629,0.454043
1.4803,0.355544
1.89413,0.453706
1.24965,1.05892
1.28037,0.66199
2.50206,0.88858
1.86644,0.681053
1.37051,1.08936
1.31409,0.789494
0.932485,0.398352
2.13769,1.16061
1.35199,0.362666
1.58563,0.180546
-0.258064,1.33299
-1.26613,1.61729
1.66337,0.325617
1.8234,0.688581
1.75183,0.781284
1.04799,0.569995
3.07271,1.14231
0.723574,0.808293
1.03591,0.746801
3.61217,1.17754
0.762383,0.7555
0.582766,1.78348
1.20595,2.06648
1.78805,0.236028
1.09997,1.43099
1.65477,1.95585
1.73275,0.463884
1.94095,1.44296
1.13273,0.773113
0.980677,0.678878
2.4671,0.7593
1.56309,0.269137
1.28963,1.65981
1.19468,0.47995
2.08779,1.38484
2.25155,0.434823
1.56287,0.439961
2.26318,1.12673
1.397,0.378972
3.64444,2.27606
2.17679,0.631472
1.32849,0.304982
0.665689,1.07349
1.67599,0.660892
2.21485,1.17298
0.764268,0.529951
1.70796,1.33521
-0.491849,1.2946
0.831615,1.93383
2.04915,0.99536
1.65175,0.73724
1.30433,0.922316
1.19606,0.170307
1.18498,0.22461
1.25254,1.02848
-1.39176,1.86108
1.57232,0.598904
1.40962,0.458879
2.46507,0.49878
2.04761,1.05774
2.21244,1.40477
0.360794,0.583274
1.78851,0.608462
2.42856,1.32828
0.884633,0.800448
-0.0272489,0.974289
1.70356,0.854313
1.22028,0.282442
2.05613,0.906739
1.26647,0.174866
1.41633,0.11574
1.42959,0.0940581
1.33123,0.10638
1.33123,0.10638
1.33123,0.10638
1.33123,0.10638
1.33123,0.10638
1.38251,0.13402
1.57864,0.255236
0.549283,0.771584
2.25606,0.716021
0.346474,2.28333
0.648635,1.50127
0.0111759,1.49949
1.39303,0.18474
1.24553,0.174168
1.36734,0.317898
2.09322,1.96718
1.55395,0.591952
0.773153,1.25069
1.48968,1.04992
0.156203,0.5825
2.52187,0.855939
1.75205,0.600233
-0.77946,1.59622
1.28545,1.60869
1.97412,0.656234
1.26101,0.761899
0.800975,1.00068
1.58832,0.798311
3.55214,1.03144
1.76456,0.562002
1.23578,0.263547
0.529767,0.803646
0.482019,0.945244
1.56096,0.23866
0.737572,1.02469
2.22689,1.98297
-0.662862,1.58478
1.52113,0.732459
1.90691,0.926096
0.900095,0.989821
1.47351,1.23661
2.07982,0.680589
2.40021,0.408446
-0.305468,1.68506
0.988346,0.779624
0.78869,0.805924
0.0928748,1.27372
1.48807,0.329937
1.88474,0.666202
1.66949,0.808825
1.75516,0.205033
0.905608,1.75187
-0.52045,1.39949
1.78497,2.23226
1.75591,0.881365
1.44718,1.24264
1.33289,0.663533
2.39915,2.62692
3.4318,1.07358
1.17214,0.536883
5.86858,1.67
1.35392,2.33458
-0.295823,0.867957
-0.0144913,1.0094
2.05369,0.489387
-0.323205,1.80673
1.40296,0.896774
1.68981,1.62869
0.662209,1.08232
3.17207,0.937938
1.55872,1.49741
2.18826,0.535824
0.10618,2.46564
-2.04951,1.34188
1.65431,0.163261
1.47137,0.108221
1.29071,0.144124
1.36054,0.137963
1.07682,0.399875
0.446359,1.38796
2.63772,1.68567
-2.87983,1.58278
0.997336,1.66086
-0.243045,0.821901
1.29753,0.115066
1.20035,0.199418
0.650639,1.83508
1.13954,1.17749
0.954916,0.332608
3.15848,1.59622
0.786206,0.460691
1.82397,1.03539
2.23728,1.53175
1.31727,0.370406
-0.0172615,2.01442
2.06965,0.680206
1.3637,0.327775
0.633011,0.738151
1.61641,0.226664
-0.910811,3.21254
2.21428,0.774477
0.378702,1.54191
0.957995,0.883007
1.61046,0.219414
1.0615,0.960965
2.24338,0.494675
0.17241,0.974932
1.23345,0.720221
2.49332,2.03077
1.87074,0.815018
2.45424,1.20582
1.21605,0.435722
1.44793,0.266453
1.93681,0.317171
2.02422,0.60877
1.47104,1.22709
1.19173,0.23699
2.06551,0.457611
1.23264,1.64561
1.26209,0.368712
2.30306,1.33519
0.926398,0.963169
1.70975,0.780641
0.192516,0.764708
1.83741,0.643676
0.910356,0.46591
1.60076,0.538602
0.357967,0.894174
-1.88196,1.46614
2.8435,1.52101
1.19315,0.187106
0.307347,0.849768
2.41683,1.06551
1.34794,0.233808
2.54896,1.09759
2.28939,0.67413
1.16463,0.397703
1.23094,0.406968
2.17231,0.68161
2.44166,0.953167
1.91813,0.623326
1.82972,0.565915
1.31187,0.280275
1.17967,0.296536
1.25843,0.621682
0.267523,0.980388
0.116018,1.4737
1.36117,1.74432
0.771843,1.42445
1.8597,0.532674
2.51629,1.41189
1.19637,0.326466
0.445289,1.4277
1.30333,0.895959
1.90913,2.16064
1.43799,0.244016
1.04606,0.317323
2.34135,1.17607
0.253945,0.789879
2.79837,1.34122
0.923896,0.708237
1.52926,0.280985
-0.0885586,1.08501
1.43831,0.189379
1.80644,0.466921
1.79128,0.995195
2.21719,0.50416
0.741213,2.23303
2.23234,0.419256
0.962721,0.298874
1.83451,0.351777
1.45283,0.507035
1.77833,0.399313
0.940022,1.44088
1.53528,0.23618
1.88423,0.409348
0.0603127,0.668804
1.55584,0.524893
1.05177,0.425286
1.76266,0.763104
0.171698,1.48602
1.14489,1.19418
1.13568,0.309406
-0.766992,1.42407
2.36092,1.63005
3.63608,0.882487
1.25832,0.262002
1.36161,0.759075
2.57878,0.318805
2.76262,0.803556
0.786704,0.828914
1.05039,0.581447
2.69028,1.64218
3.6495,2.15133
3.30147,1.71511
1.29304,0.199673
1.6866,0.253061
2.56986,1.68019
1.09862,1.06892
0.788452,0.724444
0.509948,0.945147
0.456431,1.18389
1.46481,0.299257
2.14518,1.13936
-0.218978,1.41817
1.23392,0.245493
0.38283,1.38618
1.1049,0.372963
2.734,1.31789
1.61129,1.28444
0.586505,1.86045
2.48281,0.903839
1.48897,0.186377
1.77871,0.567751
2.60034,1.16441
1.42603,0.375481
0.625848,0.606057
1.66384,0.22269
1.03571,0.838486
1.09681,0.907774
-0.333416,1.53123
1.48328,0.171333
1.76507,0.341824
1.54216,0.677881
0.127403,1.42195
0.804633,0.565815
1.07892,0.420284
0.930406,0.922049
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.55235,0.116856
1.29662,0.117593
1.29662,0.117593
1.29662,0.117593
1.29662,0.117593
1.52376,0.0983689
1.52376,0.0983689
1.23842,0.566928
0.736088,1.45857
1.6617,0.540245
1.1945,0.381914
0.889617,0.70017
1.41641,0.82312
1.54273,0.671294
1.39491,0.352895
-0.500148,1.03364
1.84155,0.876599
2.83478,1.5734
-0.19119,1.66368
1.22101,1.40885
-0.251073,1.24429
0.849289,0.980846
1.87992,0.289283
1.64143,0.46123
1.78157,0.569046
0.798498,2.46036
2.0484,0.786265
0.708375,0.808934
1.44704,0.442159
1.361,0.286059
2.13796,0.889562
1.75418,1.34952
0.490736,1.31401
-1.01922,1.51803
2.40391,1.44782
1.27707,0.234701
1.34195,1.58413
1.28737,0.326143
1.6009,0.376868
0.616174,0.539903
1.70506,0.198681
1.468,0.153305
1.17396,0.568516
-0.165858,0.673975
2.23009,1.0784
1.42394,0.274678
1.52888,0.173192
1.77237,0.495407
1.10078,1.29332
1.56301,1.00499
1.00094,0.754444
1.19919,0.923652
0.296355,1.27366
0.99298,0.428083
2.41598,0.800842
1.4324,1.17503
0.844428,0.370197
-0.256126,1.13164
0.93813,0.619043
1.9507,0.38474
1.17094,0.627703
1.34267,0.139021
1.24059,0.203284
0.225944,1.60405
1.53506,0.294103
1.41343,1.053
-0.00866768,1.26707
-0.534799,1.65128
1.68682,1.34218
1.84769,0.736968
1.58039,0.245495
1.22219,0.87896
0.60068,1.53119
2.38909,0.817164
1.765,0.405991
2.03804,0.388437
0.885283,0.640934
1.64654,0.559791
1.77516,0.418075
1.55314,0.225144
1.3969,1.69619
2.09905,0.588184
1.30702,0.43656
1.55142,0.246777
1.56915,0.248102
0.0188707,1.28584
1.23874,1.13637
1.81948,0.792721
2.34394,1.34831
-0.782225,2.3118
3.5625,1.36809
2.80526,1.44412
1.59129,0.599063
0.422603,0.858763
1.09486,0.940927
1.68439,0.329457
1.00219,0.402681
0.587898,0.820088
2.45455,1.77235
2.53804,1.11085
1.43089,0.476619
1.17324,0.497411
-0.640786,2.23448
0.316648,0.69798
-0.768862,1.70025
1.21152,1.21778
1.14329,0.232215
0.471136,0.835102
2.33619,0.783283
1.89584,0.800275
1.44772,0.231458
0.747672,1.42181
1.46917,2.07842
1.26897,0.212029
0.237654,0.995627
1.30665,0.505197
1.93746,0.584379
2.00049,0.461093
1.89532,0.691965
1.28989,0.488809
0.629997,0.926568
1.54859,0.224182
2.75185,1.02939
2.92586,2.76134
1.89991,0.283997
3.55199,0.843891
0.978772,0.882609
1.43644,0.231997
1.65162,1.17367
1.30328,0.273815
1.12695,0.227502
1.5379,0.338654
1.9237,0.627322
1.82465,1.32997
1.63331,0.215701
1.20587,0.412884
1.43725,0.252238
0.884954,1.26787
0.310616,0.601927
1.82792,0.332033
1.54165,0.181123
1.38373,0.103197
2.498,0.767283
1.49932,0.44457
0.492339,0.862511
1.55596,0.538149
-1.12964,1.34525
2.32905,1.96162
1.25838,0.151023
1.56094,0.136012
1.44281,0.0642319
1.44281,0.0642319
1.44281,0.0642319
1.44281,0.0642319
1.44281,0.0642319
1.44996,0.0827135
1.44744,0.0973068
1.32024,0.102972
1.60207,0.159149
-0.0742261,1.02483
1.20084,1.42456
2.29079,1.43897
1.53361,0.332962
1.68724,0.420692
1.64801,0.789625
0.649552,0.514145
2.02085,1.22341
-1.39901,2.0355
-0.195797,1.77304
-1.89637,2.43773
0.968999,1.39476
0.297161,1.55401
1.07381,1.55583
1.38273,0.213304
1.72299,0.720466
1.36875,0.203015
2.0448,0.884511
1.15092,1.00986
2.31726,0.837452
1.34104,0.121941
1.34104,0.121941
1.48782,0.104695
1.22703,0.15382
1.62204,0.66171
1.2243,0.922192
3.42923,2.04862
0.707732,0.618574
1.31141,0.354867
1.82485,0.384889
1.49061,0.370179
4.45261,1.35059
1.84197,1.22787
1.78279,1.35077
1.82335,0.468505
1.16322,0.585351
2.7727,1.94359
0.782623,1.8176
-0.296316,1.88895
1.02037,0.265518
2.8838,0.823082
1.6709,1.05274
1.99873,0.753558
-0.208022,2.24189
1.38774,1.36731
2.32348,0.735276
0.285621,0.839655
0.761137,0.655239
1.50899,0.127884
1.38271,0.146838
0.25636,1.72863
-2.20021,1.72203
2.01211,0.820595
1.90068,1.15296
1.18188,0.378606
1.51322,0.747107
1.53686,0.511502
-1.77593,1.59723
2.26511,0.984071
2.43839,0.405662
0.73412,1.2232
0.957293,1.30426
0.843323,0.880647
1.84094,0.367064
1.89725,0.370508
0.756646,0.679347
0.688118,1.5979
2.38952,1.3642
-1.15557,1.64958
1.54785,1.72158
1.44331,0.0735247
1.44331,0.0735247
1.44331,0.0735247
1.37787,0.097398
1.37921,0.087924
1.40845,0.0686838
1.43684,0.0761266
1.34606,0.110344
1.34606,0.110344
1.34606,0.110344
1.41639,0.125963
1.3167,0.897435
1.16798,1.07551
1.47183,0.252917
1.19101,0.363625
3.6845,1.05642
4.27065,1.24746
2.08566,1.70184
1.26178,1.61536
1.08466,0.299523
0.720609,0.933983
1.11778,0.924751
1.04677,0.459201
3.94086,0.86318
1.22424,0.255288
2.15913,1.58069
1.33845,0.216966
1.45571,0.267982
1.36132,1.12994
0.137778,0.799897
1.02515,0.971619
3.5157,1.78874
-1.22719,2.72858
0.640566,0.416836
1.32812,0.284604
0.495545,1.41983
1.11653,0.323189
1.31983,0.570913
0.0224228,1.14218
0.609718,0.735938
-1.03741,1.32986
1.49654,0.230867
0.520925,1.97078
-0.0845563,1.38574
1.81366,1.00003
-0.852033,1.54257
1.61656,1.15918
2.49668,1.01645
1.20205,0.376119
2.80957,1.14559
4.02367,0.945021
-1.30539,1.69816
4.06395,1.59201
1.67256,0.679661
1.32713,0.22703
1.176,0.600926
0.863753,0.288963
1.79402,1.00865
0.923551,0.939844
0.488623,1.51387
-2.05875,1.47956
-0.340453,1.06788
-1.26462,1.31854
1.74722,0.418353
1.37109,0.31438
2.47301,0.949095
2.3141,0.884729
2.1904,1.18711
1.44753,0.16725
0.634196,1.40944
1.66114,0.157925
1.66114,0.157925
1.25807,0.779036
1.59599,0.628439
1.22456,0.717043
2.44187,0.795394
1.64919,0.578429
1.52135,0.650948
1.13334,0.431068
5.04661,2.34983
1.88212,0.439436
1.83409,1.83557
1.58135,0.935292
1.57418,0.248897
1.87112,0.439203
1.89139,0.715025
-2.13271,1.95791
0.176068,1.53067
2.26113,1.04408
2.53187,1.20026
1.58485,1.42434
1.08181,0.565997
2.24731,0.907127
1.1257,0.148377
1.1257,0.148377
1.1257,0.148377
2.18153,0.769553
1.56196,0.236273
0.599365,0.982527
1.62282,0.461601
1.55669,0.187353
1.32237,0.503524
1.27124,0.443285
1.55954,0.229219
1.59872,0.329612
2.19481,1.86269
1.20085,0.714791
1.20945,0.242609
1.02522,0.301659
1.34863,0.311337
1.62443,1.58656
0.546628,0.798439
1.3629,0.328841
1.00956,0.496621
1.0707,0.291235
1.78032,0.307255
0.010272,1.2216
0.771033,1.33824
1.02871,1.0764
0.234636,1.32739
0.991188,0.516728
1.40898,0.466101
1.94376,1.69587
1.43082,0.996741
2.09387,0.900477
1.54534,1.8171
1.29651,0.369684
0.976934,0.725684
1.94603,0.861964
1.65461,0.405756
1.17241,0.811861
-0.0745942,1.23666
0.970049,1.45297
1.2996,0.587148
1.59444,0.339046
4.03307,0.882605
5.23288,1.97627
3.87221,2.01547
1.19805,0.660208
1.60898,0.187545
1.15656,0.186942
1.46247,0.45495
2.07394,1.13733
1.45889,0.163609
1.65804,0.189403
1.24574,1.01591
1.25719,0.211086
1.76275,0.776355
0.42821,1.55623
1.96078,0.802873
3.16727,0.893988
3.77233,2.41075
2.10357,0.59404
1.59817,0.169579
1.96164,2.57113
1.48156,0.23686
2.03072,1.04763
1.51772,0.372941
-2.29185,1.6825
1.87614,0.927906
1.88299,0.484838
-0.0839747,0.75815
1.13501,0.616827
1.69835,0.597673
0.899257,0.473793
1.28085,1.30399
2.50688,1.66863
1.27803,0.500179
1.00982,0.485842
1.23668,0.63712
1.01248,0.468011
2.17821,1.32936
2.28136,1.21725
3.04245,0.971715
1.30052,0.347965
1.70614,0.266813
0.895634,0.751577
0.256492,1.15342
4.11654,1.67532
0.552056,0.503122
1.86136,0.990458
1.56384,0.372509
1.42542,0.270362
1.82991,1.69427
1.63269,0.206409
1.59867,0.590322
2.34509,0.639787
2.01109,1.1994
1.24675,0.771654
1.62641,0.668337
0.679212,0.8235
1.40775,0.405427
-0.523991,1.35809
0.720285,0.685214
0.913668,1.9807
1.81767,0.907834
0.516338,1.96484
1.93502,1.16972
2.28082,0.799788
0.18249,0.861172
0.369653,1.35417
1.28922,0.221448
1.08569,0.873127
1.04212,0.565759
1.74207,0.399701
-0.795996,1.0369
1.55662,0.214803
1.57359,0.274375
1.57582,1.17596
1.50772,0.298196
2.07984,0.923794
1.09043,0.601337
3.23661,0.944928
0.941418,0.752915
-0.109476,1.3027
4.09985,1.05823
1.69119,0.251745
1.8748,0.268908
0.820583,0.34033
2.10443,0.669869
2.82978,1.06528
1.07003,0.837022
3.66561,1.25676
1.2266,0.407414
0.39043,1.18205
0.919239,0.432054
1.5386,0.456053
2.20672,2.04524
0.860169,1.04696
1.52656,0.636832
0.0515916,0.690528
1.45681,0.408941
1.40177,0.573127
-0.922925,1.35094
1.8617,0.469362
-0.293847,0.864892
1.83192,0.520673
1.36652,0.131895
1.42177,1.0213
4.15847,1.67058
2.16584,1.2863
1.50238,0.20161
0.894653,0.42286
0.979105,0.998267
2.92882,1.39903
2.20886,0.628815
1.04067,1.75212
1.51211,0.622591
-0.958902,2.33448
0.588841,0.469628
1.03207,0.681509
2.28474,0.650685
1.52609,0.251048
1.62049,0.777742
3.69388,1.95646
3.60262,0.902455
-0.291319,1.33194
3.41668,1.73375
0.340501,0.657694
0.686448,1.21231
1.58639,1.20935
0.0115848,0.752289
1.50977,0.924744
0.480863,0.995599
1.36533,0.371566
2.8366,1.0826
2.29874,0.501712
0.949274,0.1844
1.89076,1.0516
-0.464571,1.89231
1.33194,0.26579
1.22754,0.508506
-1.55287,1.84081
1.84717,0.77143
1.7549,0.378347
1.79049,1.27947
1.22998,0.316565
1.80876,0.626181
3.81904,1.56278
1.16509,0.605637
1.61851,1.06154
0.616097,0.891561
1.19186,0.922791
1.75207,0.32751
1.63876,0.801176
-0.542411,0.907588
1.36366,0.571087
0.984056,1.71609
1.47222,1.54973
0.182863,1.61122
1.80436,1.62017
0.0251032,1.29017
1.43863,0.222368
-0.751158,1.79267
0.413158,0.96375
-0.659039,1.61125
1.13836,0.259717
0.617602,0.798457
1.69835,0.205596
1.39032,0.152033
1.83238,1.41431
2.17409,0.869006
1.29363,0.424203
1.61815,0.483776
1.49168,0.168043
1.32784,0.127792
1.10589,0.345529
2.09204,0.504391
1.75673,0.663311
0.0868932,0.901607
1.79236,0.579504
1.42913,0.413976
1.96716,0.974827
1.08432,0.831428
1.43387,0.144812
1.00294,0.230733
1.12231,0.431087
0.862702,0.296058
1.42197,0.167159
1.77037,0.366633
1.55607,0.639264
2.19151,1.03187
1.49918,0.599251
-0.409005,1.9665
1.16961,0.63482
1.29537,0.530331
1.53263,0.22499
1.15928,0.247441
1.52363,0.898212
1.19083,0.422647
1.90079,1.04435
1.38551,0.595275
1.4863,0.135996
0.559146,0.839662
0.707961,2.36264
1.56354,0.328947
0.704131,1.16476
1.46694,0.450821
1.66524,0.483285
-0.055793,1.06651
1.50428,2.72568
1.43113,0.297897
1.96394,0.65963
1.51816,0.355855
1.80296,0.438598
1.64213,0.363009
1.59044,0.249452
1.45465,0.697798
1.45983,0.33569
2.67295,1.25726
0.919663,0.933809
3.40431,1.04557
0.383712,1.32668
1.39461,0.254372
0.33576,1.19273
2.22801,0.426988
2.69386,0.885171
1.53108,0.480745
1.17925,2.0592
2.03536,1.11525
-0.845733,2.12887
1.72259,0.69594
1.48549,0.884444
1.83264,0.698576
2.91313,1.05237
-0.562478,1.93579
0.859987,1.26149
1.2677,0.606099
1.38867,0.784056
2.11293,0.911724
1.25555,0.684867
0.464791,1.07541
2.35376,1.06251
1.46233,1.18704
1.27204,0.481537
0.943772,2.37811
1.61532,0.853515
0.988175,0.564398
1.61991,0.358439
1.29594,0.293605
2.07408,2.17459
0.075168,1.33137
0.505029,0.607701
2.36256,0.536611
0.979237,0.756979
-0.0361173,1.06669
1.11237,0.215912
1.79154,0.393344
1.35866,0.345183
2.03008,0.884668
3.17102,1.39564
3.43951,1.46329
0.877769,1.13039
1.51615,0.301759
1.27082,0.625173
-0.968658,2.10756
1.4578,2.45249
1.1838,0.230423
0.376644,0.887126
1.26021,0.319634
1.37336,0.112407
0.997926,0.674294
1.59691,0.425111
1.90141,0.166914
0.924839,0.158625
0.924839,0.158625
1.47654,0.271924
1.8698,1.01498
0.584473,0.981861
1.39739,0.626549
1.51999,0.562554
2.3465,1.02571
0.580764,1.16873
1.23389,0.899126
1.83939,0.564754
1.32994,0.553831
1.7835,0.74642
2.02299,0.840084
1.60735,1.73659
2.87522,0.926655
0.989021,0.750283
1.02591,0.341753
2.35882,0.303145
1.67343,0.36438
1.92523,0.764346
0.525739,0.544185
0.199489,1.54063
1.21331,0.287202
3.95375,1.55491
0.820215,0.888909
0.414792,0.691462
1.9986,0.43664
2.62419,0.628245
1.85489,0.610974
0.925971,1.09865
1.62814,0.583971
1.13373,1.29426
1.51558,0.629082
0.387818,1.96845
1.23896,0.977165
-1.32329,2.16104
-0.447771,1.05008
1.61431,1.45531
0.809966,2.1458
1.60502,0.448284
2.77922,0.678654
-0.248109,2.99382
-1.3847,1.53866
1.29579,0.361647
1.55639,0.637311
0.976053,0.791896
1.58241,0.27013
1.44629,1.08641
-0.105363,2.59476
1.06248,0.790355
1.88891,0.284141
0.981955,1.48836
1.34017,0.538647
-0.770399,1.45538
1.63494,0.478591
1.55428,0.183573
1.61694,0.751133
2.35699,0.405735
1.26533,1.27267
2.15487,0.901516
2.832,1.97997
1.52447,0.116068
1.67302,0.638735
1.96624,1.69153
0.99028,1.66284
0.28558,1.95918
1.89925,0.259494
0.101431,1.9068
0.959778,0.566006
1.38767,0.325022
0.934648,0.389188
1.16132,0.42745
2.68401,0.84635
1.68926,0.526448
2.15139,0.668208
1.17969,0.499726
0.819274,0.631477
2.27041,0.858684
1.75754,1.5434
1.20864,0.419475
0.611252,0.575608
0.40286,0.753435
1.74114,0.486253
1.49508,0.285153
-0.422793,1.64596
-0.932053,1.16318
4.74889,1.49652
1.3992,0.713112
1.12756,1.17553
0.551817,1.28629
1.69307,0.254585
1.43249,0.151788
1.58362,0.246479
0.979754,0.330942
1.46339,0.274289
1.72256,0.491807
0.910549,0.954629
1.58529,0.308946
4.04377,1.38802
1.49351,0.208321
2.2548,0.452034
1.10327,0.963555
1.97468,0.561151
0.766848,0.78284
2.23408,0.687491
1.55871,0.359309
1.64002,0.248323
1.13698,0.723954
1.63244,0.580133
1.11423,0.544226
1.34613,0.515205
1.04155,1.76762
1.14033,0.834197
1.06281,0.688588
2.53839,2.48898
-0.343318,1.19234
0.6279,0.787348
2.36528,1.14732
1.38388,0.172003
0.515876,1.46939
1.79271,0.763816
1.79632,0.868905
1.53732,1.00603
-0.0148143,1.06569
-0.488583,0.790972
2.72944,1.03656
2.36226,0.688644
0.711633,0.882482
1.605,1.01486
2.35225,0.723804
1.10914,0.560383
1.10931,0.881446
1.34499,1.04671
0.544585,0.601993
0.400439,0.99405
1.21229,0.749786
1.3769,0.218206
1.94779,0.646148
1.19355,0.539918
-0.196936,0.740444
2.40172,0.833067
1.18678,0.210278
-0.0752095,0.81234
1.44972,0.17706
0.225973,2.06479
2.15428,0.67894
1.25988,1.06056
1.85492,0.584879
1.69935,1.55753
1.27822,0.534657
0.77229,0.428733
1.75481,0.273207
1.73852,1.41105
0.0297243,2.39257
2.70431,2.15461
1.70772,0.479
0.250645,0.547463
1.96109,2.22511
0.811992,0.76675
1.81641,0.371753
-1.07337,1.70455
1.49534,0.727322
1.33167,0.353389
1.55061,0.261812
1.22045,0.32971
0.644266,1.4358
1.68106,0.475369
1.14101,1.04613
1.30334,0.354032
0.723512,0.646205
1.32269,0.203385
0.386528,0.76159
1.58051,1.60346
1.44135,0.244568
0.67435,0.502702
1.32955,0.168232
-2.1517,1.08903
1.06192,1.2059
0.741239,0.378987
0.219444,1.24744
1.47133,0.57621
1.77344,2.27381
1.78924,0.583275
1.37891,0.587382
2.07652,1.66544
1.40891,0.135271
1.3385,0.113167
1.12948,1.20836
1.92011,0.643509
1.73872,0.264145
2.11379,0.781446
1.70672,0.587979
1.24923,0.385397
1.89145,0.472258
-0.0250996,0.911507
1.82899,0.508387
1.93032,0.992102
2.0585,0.374723
0.867199,1.74927
1.13241,0.568989
-0.905231,1.9684
0.00480805,0.720109
3.7219,1.22702
1.53726,0.762375
1.74387,0.950362
2.1808,0.458351
2.51586,1.42794
1.52864,0.145756
1.46176,0.101135
1.46176,0.101135
1.43145,0.0933211
1.46619,0.136008
1.39124,0.149893
1.45033,0.153335
0.59658,1.23881
1.48956,0.142239
1.3451,0.112913
1.38539,0.113218
1.38539,0.113218
-0.85605,1.55084
2.07313,1.26428
2.23894,1.01404
1.35013,1.15551
1.42354,0.18785
1.35349,0.14885
0.292829,1.02246
1.01169,1.3341
0.456592,1.19901
1.05398,0.970059
0.757167,0.334032
0.633035,1.3571
0.796282,1.00789
2.12662,0.90998
1.40276,0.449143
0.717325,0.938864
1.17682,0.480459
-0.204179,2.94091
2.64559,0.941416
1.23623,0.487505
1.24506,0.773838
1.18663,0.236396
1.83842,0.649936
1.58572,0.230395
1.38371,0.582075
2.64625,0.958491
-0.04848,0.93005
-1.22784,1.45944
0.995761,0.491198
1.36231,0.169642
1.53255,0.438003
1.97328,0.226912
1.4516,0.897322
0.503406,2.07025
1.11934,0.497447
0.408114,2.33082
1.54335,0.850801
0.289563,0.866802
0.364036,1.04726
1.10996,1.54438
2.12041,0.673165
1.16136,0.677046
1.75211,0.508881
1.42663,1.07433
1.42223,0.220438
5.23506,2.31732
0.0312086,1.21465
1.5976,0.641603
1.50888,0.416595
0.677685,0.346576
0.774529,1.07482
2.55253,2.08571
1.29813,0.254776
2.42993,1.18517
1.0679,0.438793
1.68839,0.346703
1.53286,1.24826
2.03017,0.550057
0.952801,0.761326
2.42195,0.81385
2.3453,1.66692
0.588256,0.361622
2.31618,1.27434
1.67602,1.36285
1.95362,1.92473
1.2514,1.89707
1.26459,0.427129
0.623149,0.687892
1.26034,0.478985
1.62188,0.62866
1.46077,0.178919
1.05822,0.19675
3.39513,1.11844
0.465102,1.56665
1.1826,0.36253
1.25637,0.349342
0.477351,0.937164
1.37578,0.18927
1.38729,0.106314
1.38729,0.106314
1.38729,0.106314
1.38729,0.106314
1.23362,0.273792
2.85576,0.869857
2.00003,0.505887
1.17176,1.19185
2.08934,0.805516
2.08507,0.456231
0.871647,0.955254
2.82484,1.1596
3.65553,1.21688
1.32063,2.00806
-2.66048,2.88869
